"publication","year","total.locations","geocode.value","count","relative.percentage","location_rank"
"Bob Damron's Address Book",1965,785,"Akron, OH",4,0.509554140127389,14
"Bob Damron's Address Book",1965,785,"Albany, NY",2,0.254777070063694,16
"Bob Damron's Address Book",1965,785,"Albuquerque, NM",3,0.382165605095541,15
"Bob Damron's Address Book",1965,785,"Alhambra, CA",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Allentown, PA",2,0.254777070063694,16
"Bob Damron's Address Book",1965,785,"Amarillo, TX",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Ann Arbor, MI",2,0.254777070063694,16
"Bob Damron's Address Book",1965,785,"Annapolis, MD",2,0.254777070063694,16
"Bob Damron's Address Book",1965,785,"Arcadia, CA",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Asbury Park, NJ",2,0.254777070063694,16
"Bob Damron's Address Book",1965,785,"Atlanta, GA",6,0.764331210191083,12
"Bob Damron's Address Book",1965,785,"Atlantic City, NJ",3,0.382165605095541,15
"Bob Damron's Address Book",1965,785,"Augusta, GA",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Austin, TX",2,0.254777070063694,16
"Bob Damron's Address Book",1965,785,"Bakersfield, CA",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Baltimore, MD",9,1.14649681528662,9
"Bob Damron's Address Book",1965,785,"Baton Rouge, LA",3,0.382165605095541,15
"Bob Damron's Address Book",1965,785,"Battle Creek, MI",2,0.254777070063694,16
"Bob Damron's Address Book",1965,785,"Bayville, NY",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Beaumont, TX",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Bellmore, NY",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Belmar, NJ",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Billings, MT",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Biloxi, MS",3,0.382165605095541,15
"Bob Damron's Address Book",1965,785,"Birmingham, AL",4,0.509554140127389,14
"Bob Damron's Address Book",1965,785,"Boise, ID",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Boston, MA",12,1.52866242038217,7
"Bob Damron's Address Book",1965,785,"Bryte, CA",3,0.382165605095541,15
"Bob Damron's Address Book",1965,785,"Buffalo, NY",5,0.636942675159236,13
"Bob Damron's Address Book",1965,785,"Burlington, VT",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Butte, MT",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Calumet City, IL",3,0.382165605095541,15
"Bob Damron's Address Book",1965,785,"Cambridge, MA",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Canton, OH",2,0.254777070063694,16
"Bob Damron's Address Book",1965,785,"Cathedral City, CA",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Cedar Rapids, IA",1,0.127388535031847,17
"Bob Damron's Address Book",1965,785,"Chapel Hill, NC",1,0.127388535031847,17
